id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5142433391183901,PhNSX4XZb,6179910873,星光璀璨录,周思成在视频中表示何凯文吃相不佳，“上午退出考研教育界，下午却让考研学生感谢你”。对此，何凯文作出了回应。#何凯文##周思成##直播#L星光璀璨录的微博视频,,,,"何凯文,周思成,直播",0,0,1,2025-03-09 23:45,微博视频号,,"http://f.video.weibocdn.com/o0/XK64KUb9lx08my4LdhqU010412007IwW0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1743955715&ssig=WzNfnPcuux&KID=unistore,video",,北京,红V
5142433253557995,PhNSJeVB1,6179910604,星闻百分百,何凯文在直播中回应了关于退网的言论。#何凯文##考研##英语一#L星闻百分百的微博视频,,,,"何凯文,考研,英语一",0,0,0,2025-03-09 23:44,微博视频号,,"http://f.video.weibocdn.com/o0/hesEGJUclx08my4JvaEE01041200flsr0E010.mp4?label=mp4_720p&template=720x1600.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1743955715&ssig=tOHTQtEL6U&KID=unistore,video",,北京,黄V
5142433165220980,PhNSAlUdm,6179910433,马里奥侃大瓜,何凯文承认考研英语89分是造假，微博认证已被取消。周思成被曝唱《一路生花》庆祝。#何凯文##周思成#L马里奥侃大瓜的微博视频,,,,"何凯文,周思成",0,0,0,2025-03-09 23:44,微博视频号,,"http://f.video.weibocdn.com/o0/83sF9skWlx08my4HuTmM010412002YtB0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1743955715&ssig=4pNbC%2FhRee&KID=unistore,video",,北京,黄V
5142432954974987,PhNSfkSdJ,6085757658,吸睛穿搭术,周思成在视频中提到何凯文的吃相不佳，上午还表示要退出考研界，下午却开起了直播，并且只与粉丝进行连线。#何凯文##考研#L吸睛穿搭术的微博视频,,,,"何凯文,考研",0,0,0,2025-03-09 23:43,微博视频号,,"http://f.video.weibocdn.com/o0/siTVUMoHlx08my4DFtfW01041200aMNH0E010.mp4?label=mp4_720p&template=576x1024.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1743955715&ssig=aKjWiDGoJX&KID=unistore,video",,北京,红V
5142428660531717,PhNLk2ek5,6063043070,闻者未闻,《何凯文》直播真是太精彩了，无人能敌。#何凯文##田静#L闻者未闻的微博视频,,,,"何凯文,田静",0,0,0,2025-03-09 23:26,微博视频号,,"http://f.video.weibocdn.com/o0/IvVyo0tLlx08my3tTakM01041200soXE0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1743955715&ssig=Klge2GXb4v&KID=unistore,video",,北京,黄V
5142427136953086,PhNIRtaOy,6280360720,学霸师兄,"何老师的成绩确实是71分，不要再传63分了。""考研名师何凯文""就成绩造假一事公开致歉。#何凯文##造假#L学霸师兄的微博视频",,,,"何凯文,造假",1,1,4,2025-03-09 23:20,微博视频号,,"http://f.video.weibocdn.com/o0/nwNSCz9Qlx08my32TALK01041200efzC0E010.mp4?label=mp4_720p&template=576x1246.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1743955715&ssig=RdFW2LyfpM&KID=unistore,video",,北京,金V
5142427075088716,PhNILllO4,6613452442,萌娃历险记,何凯文翻车事件，让我思考：做人应该善良还是狡猾？考研英语的诚信问题值得深思。#何凯文##造假#L萌娃历险记的微博视频,,,,"何凯文,造假",0,0,0,2025-03-09 23:20,微博视频号,,"http://f.video.weibocdn.com/o0/q9XyOrkqlx08my33M3kk01041201newx0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1743955715&ssig=NCf1gl5%2Bj3&KID=unistore,video",,北京,红V
5142427058572413,PhNIJzY4J,6280360720,学霸师兄,何凯文抄袭造假，所有迹象都清晰可见。考研英语一、英一事变、考研英语、考研，事件备受关注。#何凯文##造假#L学霸师兄的微博视频,,,,"何凯文,造假",1,0,1,2025-03-09 23:20,微博视频号,,"http://f.video.weibocdn.com/o0/StzwyUvhlx08my324qJ201041200abEB0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1743955715&ssig=u5geQE8jlc&KID=unistore,video",,北京,金V
5142426897354071,PhNItuR83,6280360720,学霸师兄,考研英语成绩造假是否违法？何凯文承认成绩造假并致歉，涉及虚假广告罪，芜湖刑事律师关注此事。#何凯文##造假#L学霸师兄的微博视频,,,,"何凯文,造假",0,0,0,2025-03-09 23:19,微博视频号,,"http://f.video.weibocdn.com/o0/qPHARVBKlx08my2ZwExi01041200F9gM0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1743955715&ssig=nZz7PryLc3&KID=unistore,video",,北京,金V
5142426852788502,PhNIpbHpQ,6280360720,学霸师兄,考研辅导名师何凯文承认查分视频造假，宣布退出考研培训，但很快又开启直播。此事暂未见法律追究，两环节有改进空间。分享一些看法供参考。#何凯文##造假#L学霸师兄的微博视频,,,,"何凯文,造假",0,0,0,2025-03-09 23:19,微博视频号,,"http://f.video.weibocdn.com/o0/mVsReZl7lx08my31rH0Q01041202rMXm0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1743955715&ssig=LLdHQT3w7M&KID=unistore,video",,北京,金V
5141711267042028,Phv6etxX6,6336760554,deservehhhhh,#何凯文#太可恶了啊！误人子弟！,,,,何凯文,0,0,0,2025-03-07 23:55,HUAWEI Pura 70,,,,广东,普通用户
5141702881839990,PhuSI7IFg,6613452442,萌娃历险记,“何凯文考研成绩造假事件”的法律剖析，由银川刑事律师为您解读。#何凯文##成绩#L萌娃历险记的微博视频,,,,"何凯文,成绩",0,0,0,2025-03-07 23:22,微博视频号,,"http://f.video.weibocdn.com/o0/Qzjl1CL2lx08muRqZwha01041201rov40E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1743955741&ssig=64TZQAj72s&KID=unistore,video",,北京,红V
5141702814991419,PhuSBkWuL,6185411530,星光乐台,田静居然也有虎扑评分？出题的老教授稍微一出手，某些考研名师立刻现了原形。#周思成##何凯文##考研#L星光乐台的微博视频,,,,"周思成,何凯文,考研",0,0,0,2025-03-07 23:22,微博视频号,,"http://f.video.weibocdn.com/o0/jrufJp90lx08muRovxFu01041200137Y0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1743955741&ssig=c2hP9HkeoQ&KID=unistore,video",,北京,红V
5141702440391528,PhuS01DQY,6613452442,萌娃历险记,何凯文考研英语成绩引发争议，文都教育决定暂停他的所有课程。#何凯文##成绩#L萌娃历险记的微博视频,,,,"何凯文,成绩",0,0,0,2025-03-07 23:20,微博视频号,,"http://f.video.weibocdn.com/o0/qr7lWcUqlx08muRijm1W010412004PJt0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1743955741&ssig=NoRe%2B0ES2W&KID=unistore,video",,北京,红V
5141702185582625,PhuRAnqil,6613452442,萌娃历险记,虎扑上田静的评分能到80吗？何凯文大帝轻轻松松89，我室友每年都和他讨论英语一成绩。考研名师在虎扑上的评分真有意思。#何凯文##成绩#L萌娃历险记的微博视频,,,,"何凯文,成绩",0,0,0,2025-03-07 23:19,微博视频号,,"http://f.video.weibocdn.com/o0/9YXGMq9Mlx08muRdN9qw010412000ZWR0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1743955741&ssig=cAPDldxrwX&KID=unistore,video",,北京,红V
5141699680802352,PhuNy3mJa,6280360720,学霸师兄,英一事变田静虎扑评分！宝贝，你去哪儿了？这外语得好好学呀。周思成质疑何凯文英语一成绩，考研名师虎扑点评。#何凯文##田静#L学霸师兄的微博视频,,,,"何凯文,田静",0,0,0,2025-03-07 23:09,微博视频号,,"http://f.video.weibocdn.com/o0/N0XaEXZylx08muQxpLra010412000ZsE0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1743955741&ssig=XH8ubrTQla&KID=unistore,video",,北京,金V
5141699529545090,PhuNiE374,6085757658,吸睛穿搭术,何凯文评论刘晓燕，到底是跟随KK3的步伐还是支持晓燕老师？这事让人议论纷纷。#何凯文##田静#L吸睛穿搭术的微博视频,,,,"何凯文,田静",0,0,0,2025-03-07 23:09,微博视频号,,"http://f.video.weibocdn.com/o0/eguhR7Evlx08muQvGllm010412006nVn0E010.mp4?label=mp4_720p&template=720x1406.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1743955741&ssig=zIdE4JqOq5&KID=unistore,video",,北京,红V
5141699304621183,PhuMWjobd,6183820851,八卦工厂,田静英一事变评价，老师你是不是没跟田静啊，考得这么低。周思成和何凯文在虎扑上的评分引发质疑，特别是英语一的成绩，考研名师们怎么看？#何凯文##田静#L八卦工厂的微博视频,,,,"何凯文,田静",0,0,1,2025-03-07 23:08,微博视频号,,"http://f.video.weibocdn.com/o0/0y3qhiVmlx08muQqZV60010412000YUx0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1743955741&ssig=ePy6OQyt1X&KID=unistore,video",,北京,红V
5141699173555423,PhuMJeUVx,6280360720,学霸师兄,田静英一事变的评价准备妥当，老师即将进行考核。周思成和何凯文在虎扑上的评分引发讨论，周思成质疑何凯文英语一的成绩，考研名师们各抒己见。#何凯文##田静#L学霸师兄的微博视频,,,,"何凯文,田静",0,0,0,2025-03-07 23:07,微博视频号,,"http://f.video.weibocdn.com/o0/u3apA3Zklx08muQp1sbS0104120016KS0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1743955741&ssig=vnlQvMb%2Bam&KID=unistore,video",,北京,金V
