bid,发布时间,id,点赞数,ip,微博正文,user_id,用户昵称
PhNIRtaOy,2025-03-10 12:52:08,5142631375178701,0,来自山东,变成了作文素材[裂开],3873893893,余人00
PhlEoAvkY,2025-03-07 00:18:54,5141354653943230,0,来自河南,15年考研也是他们[笑cry],7983057804,念念宝贝等你呀
PhcgGuGUB,2025-03-06 00:01:23,5140987857604579,0,来自山东,唐迟唐静田静刘晓燕monkey王江涛石雷鹏都出来查查吧[doge]反正都乱成一锅粥了,7185251868,吃蛋挞的二狗
PhcgreqNH,2025-03-05 23:59:07,5140987286914756,0,来自浙江,[笑cry],6199844365,梦境织鑫
PhcgreqNH,2025-03-05 23:59:05,5140987279311373,0,来自浙江,[晕],6199844365,梦境织鑫
PhcgreqNH,2025-03-05 23:59:02,5140987267255049,0,来自浙江,[伤心],6199844365,梦境织鑫
PhcgjypN1,2025-03-05 23:59:11,5140987303694663,0,来自湖南,英一果然是最猛的一,6023593911,Bokketo
PhMVHyDC9,2025-03-10 10:49:17,5142600459228623,794,来自江苏,一个男的怎么会low成这样啊,6213534592,呼啦呼啦的鼹鼠11
PhMVHyDC9,2025-03-10 01:02:24,5142452764411419,409,来自云南,自己不看看自己什么样子,6020059178,青眼聊因美酒横z
PhMVHyDC9,2025-03-10 12:02:37,5142618917045371,340,来自福建,只能说，他这种人的塌房纯属自己造孽。天天在那里骂别的考研老师，也不看看自己品行都稀烂了。终于塌房了，喜闻乐见,7682177492,行稳求实i
PhMVHyDC9,2025-03-10 13:35:35,5142642309203813,152,来自辽宁,德育最重要，真正好的老师不会天天diss别的老师[doge][doge],2614898493,梨馅儿最甜ing
PhMVHyDC9,2025-03-10 08:33:08,5142566195957517,84,来自广东,这人好无语，自己烂还诋毁别人，当年考研我就是跟的晓燕老师，我觉得他就是教的不错,7669187213,要努力爱自己_变优秀呀
PhMVHyDC9,2025-03-10 10:25:26,5142594455606727,71,来自江苏,这视频哪里提到68了[允悲],6357648839,芝士锐克
PhMVHyDC9,2025-03-10 12:29:16,5142625619281155,41,来自河南,油腻猥琐男，传销头目,1695464763,小太爷游泳要上岸
PhMVHyDC9,2025-03-10 23:10:12,5142786920678481,13,来自河北,面相不好,5847871054,困困与T
PhMVHyDC9,2025-03-10 18:20:56,5142714119357735,3,来自河北,敢骂小燕老师活该不是什么好东西[黑线],7500533335,-祝星w
PhMVHyDC9,2025-03-10 12:19:41,5142623207820816,8,来自天津,都是为了搞流量而已！都差不多,2827842850,杜知书
PhMVHyDC9,2025-03-10 12:45:18,5142629655252279,15,来自安徽,歪嘴斜笑心术不正,3438972074,月洒流萤
PhMVHyDC9,2025-03-10 09:53:00,5142586297942542,16,来自广东,发给他，让他挂他号置顶啊,3924885938,23号选手你好
PhMVHyDC9,2025-03-10 22:11:10,5142772059478311,8,来自江西,一脸奸邪,6128979693,夏亦凉7-11
PhMVHyDC9,2025-03-13 17:54:21,5143794594350640,0,来自河南,@啵啵的香菜派对,5672636684,kkkaey
PhMVHyDC9,2025-03-10 13:35:10,5142642208538772,8,来自四川,面相这个东西有点说法,5529741095,withone11
PhMVHyDC9,2025-03-12 01:10:55,5143179682907882,0,来自四川,@只要辣就行,5899561945,六角星坠崖
PhMVHyDC9,2025-03-10 23:55:32,5142798325777065,3,来自北京,@何凯文 你好意思考89？,6474897537,贰语拾叁
PhMVHyDC9,2025-03-10 17:46:43,5142705510024767,4,来自上海,好mean,5721819905,seeyalulu
PhMVHyDC9,2025-03-10 11:58:52,5142617970443206,5,来自安徽,考研英语还要跟老师吗，语言类的东西又不是逻辑类的东西,6863067521,mgp要耐心
PhMVHyDC9,2025-03-10 09:33:05,5142581282603774,0,来自湖北,@妮的心上仁是妮,3730175071,-bluu-
PhxM6E18G,2025-03-08 09:22:09,5141853754622486,0,来自北京,没有注意到是个什么事情，我落后了。,1730784747,牛华勇
PhxM6E18G,2025-03-08 14:42:54,5141934473480161,0,来自河北,听过他的讲座，各种炫，各种骚词一大堆。,6590328900,百年树人20240707
PhxK1kaHx,2025-03-14 13:03:26,5144083769593383,4,来自广西,他这个86是不是也是P的啊[二哈][二哈][二哈],5589871773,sincerely箬竹
PhxK1kaHx,2025-03-08 23:05:21,5142060920212598,5,来自上海,神经病,6174183706,灿烂的明天2020
PhxK1kaHx,2025-03-17 01:07:47,5144990835278385,0,来自江苏,说不定23年就是P的,7918576560,CRH380AL-2606
PhxK1kaHx,2025-03-08 20:57:40,5142028786867131,3,来自山东,我们只想看25年的,1641077400,长的像哈利波特
PhxK1kaHx,2025-03-08 19:02:44,5141999867134901,0,来自河南,[doge],5164843287,-等到烟火清凉-
PhxK1kaHx,2025-03-08 17:44:16,5141980117207369,0,来自江苏,老话说的果然对，得意不能忘形,2303672303,明德波若
